"site","variable","species","trt","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"secondary","pnue","cryptocarya_chinensis","np",0.552,1.989,0.064,0.534,0.021,0.178,9,9
"secondary","pnue","psychotria_asiatica","n",0.984,1.47,0.187,0.241,0.062,0.08,9,9
"secondary","pnue","psychotria_asiatica","p",0.984,1.547,0.187,0.282,0.062,0.094,9,9
"secondary","pnue","psychotria_asiatica","np",0.984,3.838,0.187,0.709,0.062,0.236,9,9
"secondary","pnue","nephelium_lappaceum","n",0.571,1.074,0.401,0.056,0.134,0.019,9,9
"secondary","pnue","nephelium_lappaceum","p",0.571,0.8,0.401,0.114,0.134,0.038,9,9
"secondary","pnue","nephelium_lappaceum","np",0.571,2.232,0.401,0.279,0.134,0.093,9,9
"secondary","pnue","ampelocalamus_actinotrichus","n",0.162,0.765,0.038,0.17,0.013,0.057,9,9
"secondary","pnue","ampelocalamus_actinotrichus","p",0.162,0.552,0.038,0.068,0.013,0.023,9,9
"secondary","pnue","ampelocalamus_actinotrichus","np",0.162,0.701,0.038,0.297,0.013,0.099,9,9
"secondary","pnue","rhapis_excelsa","n",0.361,0.4,0.064,0.078,0.021,0.026,9,9
"secondary","pnue","rhapis_excelsa","p",0.361,0.284,0.064,0.048,0.021,0.016,9,9
"secondary","pnue","rhapis_excelsa","np",0.361,1.09,0.064,0.173,0.021,0.058,9,9
"secondary","ppue","blastus_cochinchinensis","n",41.768,49.848,0.515,8.957,0.172,2.986,9,9
"secondary","ppue","blastus_cochinchinensis","p",41.768,30.505,0.515,2.116,0.172,0.705,9,9
"secondary","ppue","blastus_cochinchinensis","np",41.768,48.687,0.515,8.11,0.172,2.703,9,9
"secondary","ppue","gironniera_subaequalis","n",40.278,39.542,8.031,5.046,2.677,1.682,9,9
"secondary","ppue","gironniera_subaequalis","p",40.278,57.271,8.031,16.541,2.677,5.514,9,9
"secondary","ppue","gironniera_subaequalis","np",40.278,115.768,8.031,30.602,2.677,10.201,9,9
"secondary","ppue","calamus_tetradactyloides","n",22.839,13.177,3.745,3.227,1.248,1.076,9,9
"secondary","ppue","calamus_tetradactyloides","p",22.839,14.167,3.745,1.689,1.248,0.563,9,9
"secondary","ppue","calamus_tetradactyloides","np",22.839,15.326,3.745,6.014,1.248,2.005,9,9
"secondary","ppue","cryptocarya_chinensis","n",39.826,74.709,6.697,16.391,2.232,5.464,9,9
